epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3468400537967682,0.0010000000474974513,1.7665536403656006,0.398257851600647,1.5572381019592285
1,0.40725260972976685,0.0010000000474974513,1.5664827823638916,0.41533100605010986,1.5099098682403564
2,0.4276868402957916,0.0010000000474974513,1.5122684240341187,0.4292683005332947,1.4854235649108887
3,0.4311312437057495,0.0010000000474974513,1.4951785802841187,0.4320557415485382,1.4785335063934326
4,0.42807385325431824,0.0010000000474974513,1.4945189952850342,0.4355400800704956,1.4768869876861572
5,0.4299702048301697,0.0010000000474974513,1.4893534183502197,0.43170732259750366,1.4788576364517212
6,0.43244707584381104,0.0010000000474974513,1.4922696352005005,0.4331010580062866,1.4736933708190918
7,0.43391773104667664,0.0010000000474974513,1.4869613647460938,0.4372822344303131,1.480107069015503
8,0.43229228258132935,0.0010000000474974513,1.4822852611541748,0.43519163131713867,1.475916862487793
9,0.4383683502674103,0.0010000000474974513,1.4774169921875,0.4348432123661041,1.474097490310669
10,0.44599249958992004,0.0005000000237487257,1.4560129642486572,0.43066200613975525,1.4835292100906372
11,0.44819846749305725,0.0005000000237487257,1.4494094848632812,0.4348432123661041,1.4815360307693481
